Country-wise,Student,Workers
Afghanistan,0,0
Algeria,0,584
Anguilla,0,193
Argentina,2,0
Armenia,516,12
Australia,1005,405
Bahrain,1342,14920
Bangladesh,939,1517
Barbados,0,0
Belarus,191,1
Belgium,21,32
Benin,4,83
Botswana,1,60
Brazil,29,19
Brunei Darussalam,0,88
Bulgaria,239,6
Burundi,0,0
Cambodia,1,99
Cameroon,3,37
Canada,1698,951
Chad,0,5
Chile,1,6
China,181,184
Colombia,3,1
Congo Republic of,6,372
Cote dIvoire,14,270
Cyprus,79,24
Czech Republic,1,0
Democratic Republic of Congo,2,365
Denmark,1,1
Djibouti,0,11
Egypt,7,92
Eritrea,0,29
Ethiopia,2,139
Fiji,1,9
Finland,38,8
France,1229,613
Georgia,493,9
Germany,481,328
Ghana,5,339
Guatemala,0,0
Guinea,0,0
Hungary,0,0
Indonesia,78,517
Iran,160,156
Iraq,1,3960
Ireland,101,4
Israel,24,73
Italy,240,565
Jamaica,16,266
Japan,72,125
Jordan,8,212
Kazakhstan,1874,584
Kenya,18,78
Korea Republic of (South),10,1
Kuwait,847,44248
Kyrgyzstan,5917,28
Lebanon,1,503
Madagascar,0,79
Malawi,8,53
Malaysia,652,149
Maldives,69,4584
Malta,25,57
Mauritania,0,139
Mauritius,42,246
Mexico,50,8
Morocco,0,8
Mozambique,0,131
Myanmar,0,5
Nepal,13,3
Netherlands,226,78
New Zeland,61,205
Nigeria,188,2207
Norway,5,243
Oman,2409,50536
Papua New Guinea,0,0
Philippines,3168,204
Poland,1,119
Portugal,19,24
Qatar,442,30509
Russia,7551,262
Rwanda,0,0
Saudi Arabia,823,49000
Senegal,4,84
Seychelles,3,215
Sierra Leone,6,188
Singapore,1628,5043
Somalia,2,52
South Africa,101,261
South Korea,9,5
South Sudan,0,2
Spain,120,5
Sri Lanka,32,1268
Sudan,1,105
Suriname,0,0
Sweden,148,122
Switzerland,2,0
Tajikistan,956,18
Tanzania,44,167
Thailand,99,39
Togo,0,18
Trinidad and Tobago,0,1
Tunisia,3,1
Turkey,20,34
UAE,3867,84497
Uganda,53,247
Ukraine,6941,41
United Kingdom,4099,1098
USA,4743,2390
Uzbekistan,75,82
Venezuela,0,0
Vietnam,20,135
Zambia,0,0
Total,56630,308099
