S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death,p_death
4,2020-03-12,India,74,71.0,3.0,0.0,0.0
5,2020-03-13,India,75,71.0,3.0,1.0,0.25
6,2020-03-14,India,84,72.0,10.0,2.0,0.16666666666666666
7,2020-03-15,India,107,95.0,10.0,2.0,0.16666666666666666
8,2020-03-16,India,114,99.0,13.0,2.0,0.13333333333333333
9,2020-03-17,India,137,120.0,14.0,3.0,0.17647058823529413
10,2020-03-18,India,146,129.0,14.0,3.0,0.17647058823529413
11,2020-03-19,India,166,148.0,15.0,3.0,0.16666666666666666
12,2020-03-20,India,195,171.0,20.0,4.0,0.16666666666666666
13,2020-03-21,India,258,231.0,23.0,4.0,0.14814814814814814
14,2020-03-22,India,360,329.0,24.0,7.0,0.22580645161290322
15,2020-03-23,India,433,402.0,24.0,7.0,0.22580645161290322
16,2020-03-24,India,492,446.0,37.0,9.0,0.1956521739130435
17,2020-03-25,India,519,469.0,40.0,10.0,0.2
18,2020-03-26,India,649,593.0,43.0,13.0,0.23214285714285715
19,2020-03-27,India,724,640.0,67.0,17.0,0.20238095238095238
20,2020-03-28,India,909,810.0,80.0,19.0,0.1919191919191919
21,2020-03-29,India,979,867.0,87.0,25.0,0.22321428571428573
22,2020-03-30,India,1071,942.0,100.0,29.0,0.2248062015503876
23,2020-03-31,India,1397,1238.0,124.0,35.0,0.22012578616352202
24,2020-04-01,India,1637,1466.0,133.0,38.0,0.2222222222222222
25,2020-04-02,India,1965,1764.0,151.0,50.0,0.24875621890547264
26,2020-04-03,India,2301,2088.0,157.0,56.0,0.26291079812206575
27,2020-04-04,India,2902,2650.0,184.0,68.0,0.2698412698412698
28,2020-04-05,India,3374,3030.0,267.0,77.0,0.2238372093023256
29,2020-04-06,India,4067,3666.0,292.0,109.0,0.2718204488778055
30,2020-04-07,India,4421,3981.0,326.0,114.0,0.2590909090909091
31,2020-04-08,India,5194,4643.0,402.0,149.0,0.27041742286751363
32,2020-04-09,India,5734,5095.0,473.0,166.0,0.2597809076682316
33,2020-04-10,India,6412,5709.0,504.0,199.0,0.283072546230441
34,2020-04-11,India,7447,6565.0,643.0,239.0,0.2709750566893424
35,2020-04-12,India,8356,7367.0,716.0,273.0,0.27603640040444893
36,2020-04-13,India,9152,7987.0,857.0,308.0,0.26437768240343346
37,2020-04-14,India,10363,8988.0,1036.0,339.0,0.24654545454545454
38,2020-04-15,India,11439,9756.0,1306.0,377.0,0.22400475341651813
39,2020-04-16,India,12380,10477.0,1489.0,414.0,0.21755123489227535
40,2020-04-17,India,13387,11201.0,1749.0,437.0,0.19990850869167429
41,2020-04-18,India,14378,11906.0,1992.0,480.0,0.1941747572815534
42,2020-04-19,India,15712,12974.0,2231.0,507.0,0.18517165814463113
43,2020-04-20,India,17265,14175.0,2547.0,543.0,0.17572815533980582
44,2020-04-21,India,18601,14759.0,3252.0,590.0,0.15356585111920876
45,2020-04-22,India,19984,15474.0,3870.0,640.0,0.1419068736141907
46,2020-04-23,India,21393,16454.0,4258.0,681.0,0.1378821623810488
47,2020-04-24,India,23077,17610.0,4749.0,718.0,0.13133345527711726
48,2020-04-25,India,24506,18668.0,5063.0,775.0,0.13275094210346008
49,2020-04-26,India,26496,19868.0,5804.0,824.0,0.12432106216053108
50,2020-04-27,India,27892,20835.0,6185.0,872.0,0.12356525435737566
51,2020-04-28,India,29435,21632.0,6869.0,934.0,0.11969755222350378
52,2020-04-29,India,31332,22629.0,7696.0,1007.0,0.11570722739285304
53,2020-04-30,India,33050,23651.0,8325.0,1074.0,0.11426747526332588
54,2020-05-01,India,35043,25007.0,8889.0,1147.0,0.11428856117975289
55,2020-05-02,India,37336,26167.0,9951.0,1218.0,0.10905183991404781
